id,nick,comment,refer_nick,refer,time,star
1436959152,本子污,我也想遇到能拼命为我拨开阴霾的那个她,,,2020/04/30 11:08:06,06:41,1
1436959152,H文平H,华晨宇,,,2020/04/30 11:08:07,06:38,1
1436959152,天娱不倒闭不换名字,你这名字，和我抖音的名字一样,天娱今天倒闭了吗,才几分钟就“专辑火爆前方拥堵”,2020/04/30 11:08:07,06:33,1
1436959152,天娱不倒闭不换名字,早,,,2020/04/30 11:08:08,06:32,1
1436959152,天娱不倒闭不换名字,大哥，太棒了,,,2020/04/30 11:08:08,06:32,1
1436959152,天娱不倒闭不换名字,太爱了,,,2020/04/30 11:08:08,06:32,1
1436959152,文H平,华晨宇,,,2020/04/30 11:08:09,06:24,1
1436959152,陈-敬梓,"初听不知曲中意，再听已是曲终人
虽然你常说我们之间不用谢 但我好要谢谢你给我这个孤独的人带来的力量",,,2020/04/30 11:08:09,06:24,1
1436959152,文平HHH,华晨宇,,,2020/04/30 11:08:09,06:16,1
1436959152,化成风_yu,早呀,,,2020/04/30 11:08:10,06:08,1
1436959152,七都yu,早(ﾟДﾟ)ﾉ,,,2020/04/30 11:08:10,06:03,0
1436959152,十三一七都yu,你好，早上好,,,2020/04/30 11:08:10,05:50,0
1436959152,云淡yl,这么少的评论区吗,,,2020/04/30 11:08:11,05:41,0
1436959152,每天一口华晨宇Q,啊，那可能是出了什么问题，清清内存看,-阳光-肆无忌惮-,不是！！！！好几首付费的歌都出现卡的时候，动不动就卡。是不是无损音质内存特别大，运行起来更需要网速？,2020/04/30 11:08:11,05:39,0
1436959152,蜉蝣绕神树,哈哈哈哈,华辞九,一边卖一边放免费音源…华晨宇你是真的敢,2020/04/30 11:08:12,04:03,0
1436959152,樱花树下的小仙女yu,晚安[西西再见],,,2020/04/30 11:08:12,02:59,0
1436959152,温yanmeizoeyu,02.07,,,2020/04/30 11:08:12,02:07,0
1436959152,陆慕离,好想爱啊，好想。,,,2020/04/30 11:08:13,01:49,0
1436959152,火卫一丶,同城et😶,华小莯,华晨宇是哪种人？就是那种不会开口辩解反驳，默默努力，用实力打脸，让所有流言蜚语都消散的人，就是那种不会高调宣扬，却总能一步一步突破自己，让别人耳目一新的人，就是那种明明唱歌很酷很帅，私底下却是谦逊温和的人，就是那个我一直向往的人，那种一生都可以很酷的人,2020/04/30 11:08:14,01:20,0
1436959152,山玥间,总在深夜和清晨看见你,,,2020/04/30 11:08:15,01:16,0
1436959152,10赵书宇05,我最好的朋友喜欢华晨宇六年了。虽然我们才认识不到一年吧，但是我超级喜欢她，被人理解的感觉真好。她是个心灵清澈可爱的女孩子，她喜欢的华晨宇一定也是个温柔善良的人吧。她在我心里是那种不声不响但是什么都做的很好的人，我也要加油努力，一定不能把这份可贵的友谊弄丢。,,,2020/04/30 11:08:15,01:08,1
1436959152,贩卖日落-_-_,啥玩意儿，免费了。？,DiS00,我今天刚买，这首就免费了？,2020/04/30 11:08:16,01:03,0
1436959152,是鲸爱yu,又分流咱家小爱嘤嘤嘤,薛薛5945,"火娃：我并到专辑里啦
小爱：我裂开了",2020/04/30 11:08:16,00:46,0
1436959152,磕宇的名厨yu,晚安,,,2020/04/30 11:08:16,00:44,0
1436959152,西門少年_fafa,晚安，宝贝@华晨宇yu 晚安，小爱,,,2020/04/30 11:08:17,00:41,0
1436959152,祂明白-,小爱,,,2020/04/30 11:08:17,00:37,1
1436959152,冰阔落fafa,太阳尚远但一定会有,,,2020/04/30 11:08:17,00:32,0
1436959152,shut------up-,(我在玩梗),-阳光-肆无忌惮-,我是聋的传人,2020/04/30 11:08:18,00:25,0
1436959152,shut------up-,"大众听审？！
ahhhh？",-阳光-肆无忌惮-,我是聋的传人,2020/04/30 11:08:18,00:24,0
1436959152,-阳光-肆无忌惮-,我是聋的传人,shut------up-,我觉得以前的小爱和这个版本不大一样,2020/04/30 11:08:18,00:23,0
1436959152,-阳光-肆无忌惮-,不是！！！！好几首付费的歌都出现卡的时候，动不动就卡。是不是无损音质内存特别大，运行起来更需要网速？,每天一口华晨宇Q,经常？？？？中间有刻意设计的停顿，不知道你说的是不是这个,2020/04/30 11:08:19,00:22,0
1436959152,柚稚i_yu,发泄出来才会忘记,,,2020/04/30 11:08:19,00:21,0
1436959152,喵昕酱,你耳机不行，听不出差距罢了,一缕烊光万千玺爱_,我白花了三块,2020/04/30 11:08:20,昨天23:57,0
1436959152,喵昕酱,那应该是你耳机8行，可以听出差距,Fliplt_,三块钱白花了,2020/04/30 11:08:20,昨天23:57,0
1436959152,xrqAhcy,晚安，小爱,,,2020/04/30 11:08:20,昨天23:54,1
1436959152,大魔王与花yu,晚安,,,2020/04/30 11:08:21,昨天23:47,1
1436959152,吧唧一口呆橘,花花宝贝,,,2020/04/30 11:08:21,昨天23:41,1
1436959152,吧唧一口呆橘,晚安,,,2020/04/30 11:08:21,昨天23:41,1
1436959152,08042yu_蜉蝣,我又来了 睡前听一听小爱😘,,,2020/04/30 11:08:23,昨天23:40,1
1436959152,好立风一飞,你说希望小爱能对社会有一点点影响。谢谢你，谢谢你写出了小爱，因为它总是能治愈我深夜莫名难过的情绪。,,,2020/04/30 11:08:23,昨天23:40,1
1436959152,华晨宇滴瑄瑄yu,小爱三更半夜，在房间，一个人，去听感觉更不一样，更能够深入地感受这首歌在表达什么,,,2020/04/30 11:08:24,昨天23:39,2
1436959152,世间美好08042yu,今天超抑郁，听听小爱，就这么熬过去吧。世界远不如想象完美，但遇见花花真的是幸运之至。即使内心充满黑暗，也努力给自己拨开云雾吧，没见到大哥之前绝对不能倒下！,,,2020/04/30 11:08:24,昨天23:34,2
1436959152,Bye_201912,抱着沙发 睡眼昏花 凌乱头发,,,2020/04/30 11:08:25,昨天23:32,0
1436959152,朝颜音,"花花的歌，让我开始正视和接纳被潜意识压抑了二十多年的负面情绪。在人前非常阳光善解人意的人，却经常会感到孤独、压抑。在火星我发现，可以自卑、焦虑、遗憾、恐惧、迷茫，在呐喊中泪流满面，开始知道它们也是我生而为人不可分割的部分。
从今往后，不再孤独。",,,2020/04/30 11:08:25,昨天23:32,2
1436959152,世间美好08042yu,为这种事吃醋真的没必要，偶像和男朋友的概念是不一样的，追星女孩的世界你可能不了解😂,城南花已开-Andy,这个专辑是女朋友送我的，女朋友买这个专辑一下买了20个，感觉她爱花要胜过爱我[多多大哭][多多大哭],2020/04/30 11:08:25,昨天23:29,1
1436959152,败家小们,是我现场版听惯了吗 我觉得现场版更好听[多多笑哭][多多笑哭][多多笑哭],,,2020/04/30 11:08:26,昨天23:29,1
1436959152,败家小们,我也是……没忍住，买了,清莲191217,第一次买专辑居然是宝贝花花的四专，开心😄,2020/04/30 11:08:26,昨天23:27,0
1436959152,世间美好08042yu,太温暖了大哥❤,佩还是奇,"专辑发售的时间是14：07
2月7日是花大哥的生日
四专发行日期是2020.04.08
反过来就是08.04.2020 08042大哥的浪漫💖",2020/04/30 11:08:26,昨天23:26,1
1436959152,打翻宇宇的冰激凌yu,我们都要好好的！,,,2020/04/30 11:08:27,昨天23:25,0
1436959152,花ET1314,晚安了。小爱 大哥,,,2020/04/30 11:08:27,昨天23:14,0
1436959152,JIANRENENEN,希望花花保佑我的家人们一直一直健康的生活下去,,,2020/04/30 11:08:27,昨天23:10,1
1436959152,Cassie是位名厨哦,我们一定要一起走下去啊，,,,2020/04/30 11:08:28,昨天23:09,0
1436959152,始终蔚蓝,小爱晚安,,,2020/04/30 11:08:28,昨天23:07,0
1436959152,小桃yu,作业写着写着，大哥的歌听着听着，眼泪就不知不觉的掉在本子上了,,,2020/04/30 11:08:29,昨天22:57,2
1436959152,兮欢yu,大约3:45分开始，“逃离灵魂监狱”,疯_H6xN,"为啥我还是听不出小疯子的衔接
我是假歌迷嘛",2020/04/30 11:08:29,昨天22:54,1
1436959152,梦里挑灯看鬼片,,都给老子滚去听华晨宇的歌,我也这样[多多大哭],2020/04/30 11:08:29,昨天22:47,0
1436959152,anyi697,我和爸爸妈妈还是一个家庭，但我一点也不觉得幸福。我甚至希望他们早点离婚吧，不要再折磨我了,茶白yu,爸爸他有了新的家庭了，漂亮的妈妈，可爱的弟弟，他们多么辛福啊。。。。。我的家在那呀。。。我好像找不见了。。。,2020/04/30 11:08:30,昨天22:42,0
1436959152,Niseven-,小爱你等着我把隔壁的你奶到百万我就来宠你哈,,,2020/04/30 11:08:30,昨天22:42,1
1436959152,花花很甜耶,2020.4.29 哥哥又救了我一命,,,2020/04/30 11:08:32,昨天22:39,1
1436959152,花花的冰淇淋yu,晚安,,,2020/04/30 11:08:32,昨天22:37,0
1436959152,新世界我在yu,晚上好！,,,2020/04/30 11:08:32,昨天22:36,0
1436959152,疯_H6xN,"为啥我还是听不出小疯子的衔接
我是假歌迷嘛",,,2020/04/30 11:08:33,昨天22:33,0
